Sponsor,Sponsor Experience,Offering,Offering City,Offering State,Property Type,Investment Structure,Investment Profile,Targeted Investor IRR (%),Targeted Investor Equity Multiple,Targeted Avg Annual Cash Yield (%),Targeted Distribution Period,Targeted Investment Period (Years),Targeted First Distribution Date,Preferred Return (%),Minimum Investment ($),Loan-to-Cost (%),Investor Accreditation,1031 Exchange?,Opportunity Zone?,Date Funds Due,Date Closed,Offering Status,First Distribution (Period End Date),First Distribution (Payment Date),Last Distribution (Period End Date),Last Distribution (Payment Date),Last Tax Document Date,Realized Investor Equity Multiple,Realized Avg Annual Cash Yield (%),Disposition Date,Realized Investor IRR (%)
CrowdStreet Investments,Blended,CrowdStreet Blended Portfolio - Series V,Multiple Cities,OR,Multi-Use,Equity Fund,Value Add,18,2,6,Quarterly,8,,8,25000,63,Accredited Investors Only,No,No,,,Funding,,,,,,,,,
CrowdStreet Advisors,Blended,Private Managed Accounts by CrowdStreet Advisors,Portland,Oregon,Multi-Use,Equity Fund,Value Add,,,,Quarterly,,,,250000,,Accredited Investors Only,No,No,,,Funding,,,,,,,,,
CrowdStreet Advisors,Blended,CrowdStreet Opportunity Zone Portfolio,Multiple Cities,U.S.,Multi-Use,Equity,Opportunistic,10,2,6,Quarterly,10,,,100000,,Accredited Investors Only,No,Yes,11/7/2019,11/4/2019,Funding,,,,,,,,,
Trion Properties,Seasoned,Meadows Apartments,Newark,CA,Multifamily,Equity,Value Add,15.9,1.5,4.2,Quarterly,3,,8,50000,65.2,Accredited Investors Only,No,No,11/12/2019,11/8/2019,Funding,,,,,,,,,
Capstone Realty Group,Tenured,1700 Palm Beach Lakes,West Palm Beach,FL,Office,Equity,Value Add,19.1,2,8.7,Quarterly,4,,12.5,25000,,Accredited Investors Only,No,No,10/30/2019,,Funding,,,,,,,,,
WestPac,Tenured,Elevation at Okemos (Ph II),Okemos,MI,Multifamily,Equity,Development,18,1.6,21.1,Quarterly,3,,,25000,74.5,Accredited Investors Only,No,No,11/29/2019,11/26/2019,Funding,,,,,,,,,
Cascadia Senior Living & Development,Seasoned,Fieldstone Memory Care - Puyallup,Puyallup,WA,Senior Housing,Equity,Development,22.5,1.8,4.8,Quarterly,3,,8,25000,,Accredited Investors Only,No,No,11/29/2019,11/26/2019,Funding,,,,,,,,,
One Real Estate Investment,Seasoned,Axiom Apartments Charlotte,Charlotte,NC,Multifamily,Equity,Core Plus,14.7,1.9,9.1,Quarterly,5,,8,25000,70.8,Accredited Investors Only,No,No,11/8/2019,11/5/2019,Funding,,,,,,,,,
SSI,Tenured,61 State Street,Charleston,SC,Hospitality,Preferred Equity,Value Add,17.4,1.9,7.9,Quarterly,5,,8,50000,50,Accredited Investors Only,No,No,11/15/2019,11/12/2019,Funding,,,,,,,,,
Middleburg Real Estate Partners,Tenured,Mosby Riverlights,Wilmington,North Carolina,Multifamily,Equity,Development,20.4,1.7,7.2,Quarterly,3,,,25000,75.2,Accredited Investors Only,No,No,11/8/2019,11/5/2019,Funding,,,,,,,,,
Flywheel Capital Partners,Emerging,Colorado Springs Office Portfolio,Colorado Springs,Colorado,Office,Equity,Core Plus,18.6,2.1,11.3,Quarterly,5,,,25000,60.2,Accredited Investors Only,No,No,10/25/2019,10/22/2019,Closed,,,,,,,,,
Block Funds,Tenured,Villas at WaterSide,Lenexa,KS,Multifamily,Equity,Opportunistic,13.5,3.6,8.4,Quarterly,12,,8,25000,70,Accredited Investors Only,No,No,11/1/2019,10/22/2019,Closed,,,,,,,,,
Bridgeview,Seasoned,BV Multifamily Fund I,Multiple Locations,U.S.,Multi-Use,Equity Fund,Opportunistic,22,2.88,8,Quarterly,7,2/1/2018,8,25000,80.98,Accredited Investors Only,No,No,10/25/2019,10/21/2019,Closed,12/31/2017,12/7/2017,6/30/2019,8/1/2019,5/17/2019,0.03,,,
Block Funds,Tenured,Westowne Center Retail,West Des Moines,Iowa,Multifamily,Equity,Core Plus,19.4,2.2,10.2,Quarterly,5,,,25000,63.6,Accredited Investors Only,No,No,10/28/2019,10/18/2019,Closed,,,,,,,,,
Liquid Capital,Emerging,Avia Riverside Apartments,Roswell,GA,Multifamily,Equity,Value Add,18.9,1.9,13.2,Quarterly,5,,8,25000,61.4,Accredited Investors Only,No,No,10/15/2019,10/11/2019,Closed,,,,,,,,,
Vertical Ventures,Seasoned,Vertical Ventures Fund I,Greater SF Bay Area,CA,Multi-Use,Equity Fund,Opportunistic,19,2,7,Quarterly,7,,,100000,,Accredited Investors Only,No,No,,,Funding,,,,,,,,,
McFarlin Group,Seasoned,The Ivy of McKinney,McKinney,TX,Senior Housing,Equity,Value Add,19.1,2,6.3,Quarterly,4,,10,25000,73.2,Accredited Investors Only,No,No,10/25/2019,10/7/2019,Closed,,,,,,,,,
CrowdStreet Investments,Blended,CrowdStreet Blended Portfolio - Summer 2019,Multiple Cities,U.S.,Multi-Use,Equity Fund,Value Add,18,2.5,6,Quarterly,8,,8,25000,66.7,Accredited Investors Only,No,No,10/10/2019,10/3/2019,Closed,,,,,,,,,
Trueline Capital,Emerging,Trueline Capital Fund II,Pacific Northwest,,Residential,Debt Fund,Core Plus,11,1.2,8,Monthly,2,,8,25000,,Accredited Investors Only,No,No,,10/1/2019,Closed,1/31/2016,1/7/2016,9/30/2019,10/16/2019,5/28/2019,0.21,,,
GWR Equities,Seasoned,Trails at City Park,Houston,TX,Multifamily,Equity,Value Add,15.2,2.5,7,Monthly,7,,9,25000,74.5,Accredited Investors Only,No,No,11/8/2019,11/5/2019,Funding,,,,,,,,,
Rhodium Capital Advisors,Seasoned,Summit Ridge Apartments,Charlotte,NC,Multifamily,Equity,Value Add,19.8,1.9,17.4,Quarterly,5,,8,40000,62.3,Accredited Investors Only,No,No,10/7/2019,9/27/2019,Closed,9/30/2019,10/10/2019,9/30/2019,10/10/2019,,0.01,,,
Denholtz Properties,Tenured,Deerfield Corporate Park,Deerfield Beach,FL,Office,Equity,Core Plus,15,1.9,11.1,Quarterly,5,,8,25000,67.6,Accredited Investors Only,No,No,10/10/2019,9/25/2019,Closed,,,,,,,,,
InSite Group,Tenured,Holiday Inn & Suites Across from Universal Orlando,Orlando,FL,Hospitality,Equity,Value Add,18.5,2.1,13.9,Quarterly,5,,,25000,63.1,Accredited Investors Only,No,No,10/4/2019,9/23/2019,Closed,,,,,,,,,
Emerald Equity Group,Seasoned,The Crest at Princeton Meadows,Plainsboro,NJ,Multifamily,Equity,Core Plus,16,2.3,12.7,Quarterly,7,1/15/2020,8,25000,77.1,Accredited Investors Only,No,No,9/19/2019,9/16/2019,Closed,,,,,,,,,
PRP,Tenured,Nobu Restaurant DC,Washington,DC,Retail,Equity,Value Add,14.3,1.8,8.8,Quarterly,5,12/31/2019,8,25000,55.9,Accredited Investors Only,No,No,9/20/2019,9/6/2019,Closed,,,,,,,,,
Rhodium Capital Advisors,Seasoned,The Willows Apartments,Kileen,TX,Multifamily,Equity,Value Add,18,1.8,15.4,Quarterly,5,,8,40000,50,Accredited Investors Only,No,No,9/6/2019,9/5/2019,Closed,9/30/2019,10/10/2019,9/30/2019,10/10/2019,,0.01,,,
Driftwood,Tenured,Ft. Lauderdale Opportunity Zone Hotel,Fort Lauderdale,FL,Hospitality,Equity,Development,12.7,2.5,8.4,Quarterly,10,,,50000,51.89,Accredited Investors Only,No,Yes,10/31/2019,10/29/2019,Funding,,,,,,,,,
Phoenix Development,Seasoned,226 W. Jackson: Dual Branded Hilton Canopy and Garden Inn,Chicago,IL,Hospitality,Equity,Opportunistic,24.1,4.2,11.9,Quarterly,7,4/30/2023,10,25000,75.6,Accredited Investors Only,No,No,9/19/2019,9/5/2019,Closed,,,,,,,,,
Presidio Companies,Tenured,Home2 Suites,West Sacramento,CA,Hospitality,Equity,Development,18.6,3.5,22.3,Quarterly,10,,10,50000,80,Accredited Investors Only,No,Yes,9/18/2019,8/27/2019,Closed,,,,,,,,,
Guefen Development,Tenured,Haven at Denton,Denton,TX,Multifamily,Equity,Opportunistic,20.6,1.8,4.8,Quarterly,3,,8,25000,65.2,Accredited Investors Only,No,No,8/28/2019,8/27/2019,Closed,,,,,,,,,
Cooper Street Capital,Emerging,Cascade Apartments,Austin,TX,Multifamily,Equity,Value Add,19.5,1.7,8.7,Quarterly,3,3/31/2020,10,25000,76.6,Accredited Investors Only,No,No,9/10/2019,8/21/2019,Closed,,,,,,,,,
Redwood Capital Group,Tenured,Briarbrook Village,Wheaton,IL,Multifamily,Equity,Value Add,15,2.1,8.1,Quarterly,7,,8,25000,63.6,Accredited Investors Only,No,No,8/23/2019,8/21/2019,Closed,9/30/2019,10/16/2019,9/30/2019,10/16/2019,,0.01,,,
RAD Urban,Seasoned,Garden Village,Berkeley,CA,Multifamily,Equity,Core Plus,14.64,2.7,7,Quarterly,8,,,25000,74.8,Accredited Investors Only,No,No,9/5/2019,8/19/2019,Closed,,,,,,,,,
Unison Realty Partners,Seasoned,Chatham Crossing,Chapel Hill,NC,Retail,Equity,Core Plus,14.3,1.8,9.9,Quarterly,5,,8,25000,67.6,Accredited Investors Only,No,No,8/22/2019,8/19/2019,Closed,,,,,,,,,
Feldman Equities,Tenured,Castille at Carillon,Tampa Bay,FL,Office,Equity,Core Plus,14.3,1.8,9.1,Quarterly,5,,9,25000,72,Accredited Investors Only,No,No,9/5/2019,8/19/2019,Closed,9/30/2019,10/10/2019,9/30/2019,10/10/2019,,0.01,,,
Hunt Properties Inc,Tenured,Windmill Ranch,Odessa,TX,Multifamily,Equity,Development,22.4,1.8,7.1,Quarterly,3,,8,25000,70,Accredited Investors Only,No,No,8/28/2019,8/16/2019,Closed,,,,,,,,,
Stonemark Housing Partners,Seasoned,Villas at Riverside,Austell,GA,Multifamily,Equity,Value Add,19,2,6.5,Quarterly,4,8/15/2019,8,50000,70,Accredited Investors Only,No,No,8/13/2019,8/9/2019,Closed,,,,,,,,,
Stanton Road Capital,Seasoned,TriCentre Office,Orange County,CA,Office,Equity,Value Add,15.6,1.8,6.9,Quarterly,4,,8,25000,70,Accredited Investors Only,No,No,7/31/2019,8/9/2019,Closed,,,,,,,,,
Parkway Acquisitions,Enterprise,100 Edgewood,Atlanta,GA,Office,Equity,Opportunistic,15,2.8,21.4,Quarterly,10,7/31/2023,9,25000,64.7,Accredited Investors Only,No,Yes,8/28/2019,8/8/2019,Closed,,,,,,,,,
Suncroft,Seasoned,Staybridge Suites Myrtle Beach,Myrtle Beach,SC,Hospitality,Equity,Core Plus,15.2,1.9,10,Quarterly,5,,10,25000,38.03,Accredited Investors Only,No,No,8/5/2019,8/5/2019,Closed,,,,,,,,,
The 601W Companies,Enterprise,Abbey Woods,Danbury,CT,Multifamily,Equity,Value Add,18.4,2.2,7,Quarterly,5,,7,25000,72.2,Accredited Investors Only,No,No,8/9/2019,7/31/2019,Closed,8/17/2019,8/22/2019,10/17/2019,10/16/2019,,0.01,,,
ArroyoBel Asset Advisors,Emerging,Baseline Professional Medical Center,Gilbert,AZ,Medical Office,Equity,Value Add,16.3,1.9,8.9,Quarterly,5,10/20/2019,8,25000,66,Accredited Investors Only,No,No,7/31/2019,7/29/2019,Closed,,,,,,,,,
RREAF,Tenured,Paces at the Estates,Opelika,AL,Multifamily,Equity,Value Add,19.3,2.2,9.6,Quarterly,5,,8,50000,72.1,Accredited Investors Only,No,No,7/26/2019,7/23/2019,Closed,,,,,,,,,
Cardinal Capital Management,Seasoned,Middleton Market Apartments,Middleton,WI,Mixed Use,Equity,Opportunistic,23.4,4,9,Quarterly,7,,8,25000,75,Accredited Investors Only,No,No,7/29/2019,7/18/2019,Closed,,,,,,,,,
Guefen Development,Tenured,Haven at the Gulch,Nashville,TN,Multifamily,Equity,Development,22.7,1.8,1,Quarterly,3,8/2/2019,8,25000,76.1,Accredited Investors Only,No,No,8/2/2019,7/17/2019,Closed,,,,,,,,,
Cross Properties,Tenured,1530 Chestnut  (Preferred Equity),Philadelphia,PA,Multifamily,Preferred Equity,Value Add,13.6,2.2,7.5,Quarterly,7,,8,25000,70.2,Accredited Investors Only,No,No,7/8/2019,7/3/2019,Closed,,,,,,,,,
AWH Partners,Seasoned,DoubleTree Albuquerque Hotel,Albuquerque,NM,Hospitality,Equity,Value Add,16.4,2.6,13.9,Quarterly,8,4/30/2020,10,25000,64.7,Accredited Investors Only,No,No,7/30/2019,7/2/2019,Closed,,,,,,,,,
Hempel Companies,Tenured,One Corporate Center II,Edina,MN,Office,Equity,Value Add,20.1,1.96,12.1,Quarterly,4,,10,25000,74.6,Accredited Investors Only,No,No,7/29/2019,7/1/2019,Closed,,,,,,,,,
Block Funds,Tenured,Barrington Park Townhomes,Lenexa,KS,Multifamily,Equity,Value Add,16,2.4,9.43,Monthly,7,,,25000,66.4,Accredited Investors Only,No,No,7/3/2019,7/1/2019,Closed,8/10/2019,8/10/2019,9/10/2019,9/10/2019,,0.01,,,
CrowdStreet Investments,Blended,CrowdStreet Blended Portfolio - Spring 2019,Multiple Cities,U.S.,Multi-Use,Equity Fund,Value Add,18,2.5,6,Quarterly,8,,8,25000,63,Accredited Investors Only,No,No,7/3/2019,6/28/2019,Closed,,,,,,,,,
McFarlin Group,Seasoned,The Heritage at Twin Creeks,Allen,TX,Senior Housing,Equity,Value Add,23.9,2.2,11.3,Quarterly,4,,12,25000,71.8,Accredited Investors Only,No,No,7/29/2019,6/18/2019,Closed,,,,,,,,,
Griffith Properties,Tenured,Ballardvale Office Park,Wilmington,MA,Office,Equity,Value Add,18.1,2.1,11.4,Quarterly,5,10/31/2020,8,25000,60,Accredited Investors Only,No,No,6/19/2019,6/15/2019,Closed,,,,,,,,,
Terrapin Investments,Seasoned,Hampton Inn Denver Airport,Denver,CO,Hospitality,Equity,Value Add,16.1,1.9,13.3,Quarterly,3,,9,25000,63.3,Accredited Investors Only,No,No,7/1/2019,6/11/2019,Closed,,,,,,,,,
Griffin Partners,Tenured,Union Woods,Salt Lake City,UT,Office,Equity,Core Plus,14.7,1.88,7.7,Quarterly,5,,,25000,58,Accredited Investors Only,No,No,6/21/2019,6/10/2019,Closed,6/30/2019,8/5/2019,8/30/2019,9/27/2019,,0.03,,,
Driftwood,Tenured,Marriott Mission Valley,San Diego,CA,Hospitality,Equity,Core Plus,16.1,2,8.5,Quarterly,5,,10,50000,63.3,Accredited Investors Only,No,No,8/8/2019,6/6/2019,Closed,,,,,,,,,
Pearlmark,Tenured,Pavilion Village,Charlotte,NC,Multifamily,Equity,Core Plus,13.2,1.8,6.4,Quarterly,5,,8,25000,63.4,Accredited Investors Only,No,No,6/10/2019,6/5/2019,Closed,9/30/2019,9/27/2019,9/30/2019,9/27/2019,,0.02,,,
Urban Investment Partners,Tenured,Walter Reed & Longfellow Apartments,Washington,DC,Multifamily,Equity,Value Add,15.2,2.3,10.4,Quarterly,7,12/31/2019,10,25000,67.1,Accredited Investors Only,No,No,6/3/2019,6/3/2019,Closed,,,,,,,,,
KM Realty Advisors LLC,Seasoned,"KM Realty Investment Trust, REIT",Multiple,TX,Multi-Use,REIT,Value Add,,,7,Quarterly,5,,7,25750,50,Accredited Investors Only,No,No,,,Funding,,,,,,,,,
Nitya Capital,Seasoned,Park Central Plaza One,Houston,TX,Office,Equity,Core Plus,17.4,2,11.1,Quarterly,5,,8,25000,70.7,Accredited Investors Only,No,No,5/31/2019,5/28/2019,Closed,9/30/2019,9/16/2019,9/30/2019,9/16/2019,,0.02,,,
Griffin Partners,Tenured,Charlotte Airport Three Portfolio,Charlotte,NC,Office,Equity,Value Add,20.6,1.9,7.2,Quarterly,4,,,25000,65.9,Accredited Investors Only,No,No,6/17/2019,5/28/2019,Closed,7/31/2019,8/30/2019,8/30/2019,9/27/2019,,0.01,,,
SSI,Tenured,The Johnston Building,Charlotte,NC,Office,Equity,Value Add,14.9,2,4.5,Quarterly,5,7/1/2021,9,25000,70,Accredited Investors Only,No,No,,5/23/2019,Closed,,,,,,,,,
10 Federal,Seasoned,10 Federal Self Storage 2,Multiple Locations,,Storage,Equity Fund,Value Add,16,1.6,11,Quarterly,7,10/31/2019,8,25000,65,Accredited Investors Only,No,No,,,Funding,,,,,,,,,
Provident Realty Advisors,Tenured,Plano Industrial Park,Plano,TX,Industrial,Equity,Development,19.4,1.7,7.54,Quarterly,3,,8,25000,67.7,Accredited Investors Only,No,No,6/1/2019,5/14/2019,Closed,,,,,,,,,
Turnstone Group,Seasoned,WoodSpring Suites Atlanta,Newnan,GA,Hospitality,Equity,Development,21.1,2.1,8.3,Quarterly,4,,10,25000,65,Accredited Investors Only,No,No,5/24/2019,5/7/2019,Closed,,,,,,,,,
Driftwood,Tenured,Crowne Plaza Space Coast,Melbourne,FL,Hospitality,Equity,Core Plus,14.5,1.8,9.1,,5,,10,50000,63.4,Accredited Investors Only,No,No,5/3/2019,5/1/2019,Closed,6/30/2019,8/1/2019,6/30/2019,8/1/2019,,0.01,,,
New Era Partners,Seasoned,New Era Medical Investment Fund II,Multiple Locations,U.S.,Medical Office,Preferred Equity,Value Add,19,2,10,Monthly,5,6/15/2020,8,25000,62.5,Accredited Investors Only,No,No,5/2/2019,4/30/2019,Closed,,,,,7/16/2019,,,,
Northshore Development,Emerging,Aqua Residences,Palm Bay,FL,Multifamily,Equity,Development,29.9,1.7,7.2,Monthly,2,12/1/2020,8,27500,73.9,Accredited Investors Only,No,No,5/8/2019,4/21/2019,Closed,,,,,3/15/2019,,,,
Rhodium Capital Advisors,Seasoned,Bridlewood Apartments,Conyers,GA,Multifamily,Equity,Value Add,19.9,1.8,17.1,Quarterly,5,,8,40000,60.8,Accredited Investors Only,No,No,5/28/2019,4/21/2019,Closed,6/30/2019,7/10/2019,9/30/2019,10/10/2019,,0.03,,,
RREAF,Tenured,Georgetown Village & Timberlane Apartments,Spartanburg,SC,Multifamily,Equity,Value Add,21.7,1.7,10.7,Quarterly,3,,8,35000,69.2,Accredited Investors Only,No,No,4/29/2019,4/19/2019,Closed,6/30/2019,8/9/2019,9/30/2019,9/30/2019,,0.01,,,
Premier Properties,Seasoned,Chalet Gardens Apartments,Pine Hill,NJ,Multifamily,Equity,Value Add,19.8,2.7,11.3,Quarterly,7,,8,25000,56.8,Accredited Investors Only,No,No,5/3/2019,4/15/2019,Closed,5/31/2019,6/25/2019,8/31/2019,9/25/2019,,0.01,,,
J. Jeffers & Co.,Emerging,"511 Partners, LLC AKA The Huron Building",Milwaukee,WI,Office,Equity,Development,22.2,1.8,2.9,Quarterly,3,,9,25000,79.1,Accredited Investors Only,No,No,4/26/2019,4/12/2019,Closed,,,,,,,,,
Block Funds,Tenured,The Royale at CityPlace,Overland Park,KS,Multifamily,Equity,Core Plus,10.9,2.4,8,Monthly,10,12/17/2018,,25000,57.7,Accredited Investors Only,No,No,5/17/2019,4/3/2019,Closed,11/10/2018,11/10/2018,9/12/2019,9/12/2019,9/24/2019,0.04,,,
CrowdStreet Investments,Blended,CrowdStreet Blended Portfolio - Winter 2019,Multiple Locations,U.S.,Multi-Use,Equity Fund,Value Add,18,2.5,6,Quarterly,8,,8,25000,63,Accredited Investors Only,No,No,4/16/2019,4/3/2019,Closed,,,,,,,,,
Northwest Sustainable Properties,Emerging,The Dean River Apartments,Portland,OR,Multifamily,Equity,Development,22.8,1.8,6.33,Quarterly,3,,8,25000,74.3,Accredited Investors Only,No,No,4/22/2019,3/31/2019,Closed,3/20/2019,3/20/2019,3/20/2019,3/20/2019,,0.01,,,
Rhodium Capital Advisors,Seasoned,Grand Pointe Apartments,Lafayette,LA,Multifamily,Equity,Value Add,16.8,1.8,10.8,Quarterly,5,3/31/2019,8,25000,62.2,Accredited Investors Only,No,No,3/31/2019,3/29/2019,Closed,3/31/2019,4/10/2019,9/30/2019,10/10/2019,,0.04,,,
RREAF,Tenured,Residence at Edinburg,Edinburg,TX,Multifamily,Equity,Core Plus,24,1.9,7.7,Semi Annually,3,7/15/2019,8,50000,77.2,Accredited Investors Only,No,No,3/27/2019,3/23/2019,Closed,6/27/2019,7/8/2019,6/30/2019,7/8/2019,,0.02,,,
Tesseract Capital Group,Emerging,Mariner's Cove,Stockton,CA,Multifamily,Equity,Value Add,19.4,2.4,13.3,Quarterly,7,,8,25000,80.2,Accredited Investors Only,No,No,3/28/2019,3/22/2019,Closed,,,,,,,,,
Northshore Development,Emerging,Mission Grove,Tallahassee,FL,Multifamily,Equity,Value Add,19.9,2.4,6.6,Quarterly,5,1/1/2021,10,25000,80,Accredited Investors Only,No,No,4/2/2019,3/21/2019,Closed,,,,,,,,,
Bristol Development,Tenured,Vista Brooklyn,Jacksonville,FL,Mixed Use,Equity,Development,20.3,1.7,6.36,,3,3/1/2022,9,25000,61.4,Accredited Investors Only,No,No,4/5/2019,3/13/2019,Closed,,,,,,,,,
Tapestry Senior Housing Management,Tenured,Tapestry Moon Senior Housing,Coraopolis,PA,Senior Housing,Equity,Value Add,28.8,3.5,10.3,Quarterly,6,,10,25000,73.57,Accredited Investors Only,No,No,3/31/2019,3/12/2019,Closed,8/23/2019,8/23/2019,8/23/2019,8/23/2019,,0.01,,,
Frontline Holdings,Emerging,Chateau on the River,Fort Worth,TX,Multifamily,Equity,Value Add,16.7,1.9,8.5,Quarterly,5,6/30/2019,7,25000,77.5,Accredited Investors Only,No,No,3/12/2019,3/12/2019,Closed,6/30/2019,7/26/2019,9/30/2019,10/23/2019,,0.02,,,
Feldman Equities,Tenured,Morgan Stanley Tower,St. Petersburg,FL,Office,Equity,Core Plus,17.7,2,7.5,Quarterly,5,7/3/2019,9,25000,63.6,Accredited Investors Only,No,No,4/1/2019,3/11/2019,Closed,3/31/2019,4/10/2019,9/30/2019,10/10/2019,,0.05,,,
Cooper Street Capital,Emerging,Mueller Rose Apartments,Austin,TX,Multifamily,Equity,Value Add,20.4,1.7,5.5,Quarterly,3,7/1/2019,10,25000,77.3,Accredited Investors Only,No,No,3/11/2019,3/8/2019,Closed,9/30/2019,10/25/2019,9/30/2019,10/25/2019,,0.03,,,
Shepherd Health,Emerging,Shepherd Living at Wildcat,Summerville,SC,Senior Housing,Equity,Opportunistic,25.5,2.4,14.5,Quarterly,4,11/16/2020,8,25000,73.5,Accredited Investors Only,No,No,3/12/2019,3/3/2019,Closed,,,,,,,,,
